# E_gamma_TeV tau_xi_100000000.0 tau_xi_10000000.0 tau_xi_1000000.0 tau_xi_100000.0 tau_xi_10000.0 tau_xi_1000.0 tau_xi_100.0 tau_xi_10.0 tau_xi_1.0 tau_xi_0.1 tau_xi_0.01
1.484808771932877747e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.606996556949092606e-03 2.199225938866418706e-01 7.682749370616713813e-01 8.793342020805767767e-01 8.914274791668400644e-01 8.926287039214430008e-01 8.927717348850829904e-01 8.927839715738042914e-01
1.645371333138542003e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.004590036613169736e-04 1.712832307173359769e-01 7.731803806598610551e-01 9.138413945334775690e-01 9.296962363766873017e-01 9.313127130144411847e-01 9.314654870417246046e-01 9.314793438765264222e-01
1.823296625861047238e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.400662552107406852e-04 1.264451224727810574e-01 7.666495213467140468e-01 9.434788578503298107e-01 9.643923503905638128e-01 9.667575022560931375e-01 9.669746283426381428e-01 9.669961196043729279e-01
2.020462201401659108e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.207664274797614763e-05 8.822933739115466911e-02 7.479590635884509897e-01 9.684572271345531780e-01 9.972166682650752678e-01 1.000227161501932693e+00 1.000528097629585833e+00 1.000557996940379724e+00
2.238948643567525210e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.673111620659311646e-06 5.817833434614228666e-02 7.167376682372518237e-01 9.891149289077654227e-01 1.029064344724873736e+00 1.033356177690758049e+00 1.033779368283270106e+00 1.033828287012851899e+00
2.481061523969742222e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.630912018467099406e-02 6.730614230314397872e-01 1.005279914751731285e+00 1.061610836055118634e+00 1.067998989736252513e+00 1.068633014341463294e+00 1.068694620768808168e+00
2.749355731498453359e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.156391880668310709e-02 6.175630601702754019e-01 1.016185070637562582e+00 1.096121255067069145e+00 1.105473973758372086e+00 1.106428013116872222e+00 1.106520063106064766e+00
3.046662432711031876e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.243868994591125141e-02 5.516529447746191250e-01 1.020675784380408180e+00 1.133773901480015445e+00 1.147788982457937257e+00 1.149223726490409714e+00 1.149383958896741165e+00
3.376118947632046119e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.189504581636305298e-03 4.776799241538137730e-01 1.016450261357552343e+00 1.174915679865392804e+00 1.195837289864342123e+00 1.197996044044945307e+00 1.198214567785321760e+00
3.741201856228492773e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.212297048582573124e-03 3.988944058072712573e-01 1.001917490334496064e+00 1.219026040969457991e+00 1.249888350802889514e+00 1.253082950980724863e+00 1.253405685991517027e+00
