# E_gamma_TeV tau_xi_1e+14 tau_xi_1e+13 tau_xi_1e+12 tau_xi_1e+11 tau_xi_1e+10 tau_xi_1e+09 tau_xi_1e+08 tau_xi_1e+07 tau_xi_1e+06 tau_xi_1e+04 tau_xi_1e+02
2.916615489673395345e+01 6.189885065230407680e+18 5.262538682951572000e+16 4.344141218735650000e+14 3.425838331066356934e+12 2.507570983741907883e+10 1.590840686129500866e+08 7.107017071200275095e+05 1.330415512824177142e+02 2.263323456733687067e+01 2.229738924041940962e+01 2.229735594254551501e+01
3.232009136266993465e+01 7.706235848583051264e+18 6.562813012387410400e+16 5.435034893940069375e+14 4.307388341884210449e+12 3.179773306759167480e+10 2.053537538200237751e+08 9.635635355463643791e+05 4.163701126060743150e+02 2.874470544808027128e+01 2.812481756202495831e+01 2.812475635597571255e+01
3.581508462084953948e+01 9.599296280782835712e+18 8.182524536997808000e+16 6.797543904550928750e+14 5.412829954939173828e+12 4.028144392890396118e+10 2.644691956698718369e+08 1.296597398487896891e+06 1.295033696123450227e+03 3.620969932834896099e+01 3.509123148105772572e+01 3.509112231593444875e+01
3.968801548253567546e+01 1.196007519138881331e+19 1.019974027481999840e+17 8.498814846441800000e+14 6.798429630393799805e+12 5.098071335229595184e+10 3.398811841645183563e+08 1.733564915019287262e+06 2.874304657781974583e+03 4.521136540811713900e+01 4.322229113796321798e+01 4.322209717025416609e+01
4.397975293418783593e+01 1.490994099338638541e+19 1.271149461039519840e+17 1.062249171370403875e+15 8.534472378731939453e+12 6.446479549031041718e+10 4.359462922669447660e+08 2.304792501215468161e+06 5.207825527955970756e+03 5.599345728176921710e+01 5.251861620236418560e+01 5.251828210300146793e+01
4.873558540621255020e+01 1.860813187912441037e+19 1.583849113997508480e+17 1.327275859227790500e+15 1.070872896206919531e+13 8.144734688480426025e+10 5.581605413972907066e+08 3.048939274773240555e+06 8.424273538159601230e+03 6.888262425885226037e+01 6.288463316971103012e+01 6.288406430622273291e+01
5.400569867776354016e+01 2.326804976517504205e+19 1.973162228409993920e+17 1.657932380372507750e+15 1.343077559797726562e+13 1.028226809050411987e+11 7.134525263782863617e+08 4.015233213681091089e+06 1.274482818345451597e+04 8.434400823499102273e+01 7.421798317735093065e+01 7.421662372522700934e+01
5.984570546066733954e+01 2.918479338875060224e+19 2.457645861533637120e+17 2.070372034016419500e+15 1.683737480622004688e+13 1.297110488040948181e+11 9.105509620264170170e+08 5.266294679820058867e+06 1.850363355953808059e+04 1.032235114442735551e+02 8.620690401495838273e+01 8.620536210826516310e+01
6.631723225089223206e+01 3.672123685084426650e+19 3.060630990496808960e+17 2.584693765993774000e+15 2.109917559385532031e+13 1.635151723803533325e+11 1.160445353960545778e+09 6.881697664614921436e+06 2.616934683619324642e+04 1.269242986809676950e+02 9.867107483844559113e+01 9.866862760258200638e+01
7.348856964029403116e+01 4.654649181757104947e+19 3.811254542860613760e+17 3.225923459278668500e+15 2.642905534832119922e+13 2.059908173660671082e+11 1.476963150465225935e+09 8.962457577560920268e+06 3.637172919758917851e+04 1.579113496841921176e+02 1.112542812986872462e+02 1.112504131896966015e+02
8.143539295103335007e+01 6.049924957236481229e+19 4.745395356575580800e+17 4.025190955004150000e+15 3.309250787351982422e+13 2.593348618651791992e+11 1.877492539548559666e+09 1.163668250048188120e+07 4.993741912041813339e+04 2.007021486698260446e+02 1.236544799689798992e+02 1.236483488605333321e+02
9.024156079713677059e+01 7.422951495269451366e+19 5.908169367893422080e+17 5.021234192227417000e+15 4.142056475423245312e+13 3.262951553998833008e+11 2.383887320955826759e+09 1.506668522874277085e+07 6.793730446554452647e+04 2.634896982366377074e+02 1.355055302887550681e+02 1.354966336972443059e+02
1.000000000000000000e+02 9.980136026761627238e+19 7.356223080976712960e+17 6.262221750047299000e+15 5.182588363343385938e+13 4.103075822487520752e+11 3.023599267984169006e+09 1.945792827437438071e+07 9.174889780006498040e+04 3.589845834942512397e+02 1.465318627426268847e+02 1.465188104215220903e+02
